QGC WPL 1100	1	0	16	0	0	0	0	0	0	2	1	
1	0	3	178	0	5	0	0	0	0	0	1	
2	0	3	22	0	0	0	0	0	0	30	1	
3	0	3	16	0	0	0	0	37.411998000077865	-121.99780399999712	30	1	
4	0	3	16	0	0	0	0	37.411998000077865	-121.99780399999712	30	1	
5	0	3	16	0	0	0	0	37.41178422144229	-121.99598813977663	30	1	
6	0	3	16	0	0	0	0	37.41189603347115	-121.99784350057963	30	1	
7	0	3	16	0	0	0	0	37.4120425632479	-121.9976156207965	30	1	
8	0	3	16	0	0	0	0	37.411818901271026	-121.99390487191923	30	1	
9	0	3	16	0	0	0	0	37.41200136160611	-121.9942730822837	30	1	
10	0	3	16	0	0	0	0	37.41211013410545	-121.99607756701779	30	1	
11	0	3	16	0	0	0	0	37.41223861025919	-121.99555021686763	30	1	
12	0	3	16	0	0	0	0	37.41218382081472	-121.99464129445084	30	1	
13	0	3	16	0	0	0	0	37.412366278896876	-121.99500950842071	30	1	
14	0	3	20	0	0	0	0	0	0	0	1	
