epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.365,1.79782,2.1942,1.15442,0.8514,0.42175,0.47044,0.24545,1.59443,1.23136,1.09111,0.000369361,0.000369361,0.000369361
2,79.8145,1.67315,1.35806,1.10241,0.81989,0.4159,0.46173,0.24215,1.5731,1.24273,1.07282,0.000732372,0.000732372,0.000732372
3,116.82,1.64045,1.18726,1.08711,0.80009,0.52935,0.56086,0.3035,1.58405,1.14028,1.06832,0.00108805,0.00108805,0.00108805
4,155.904,1.6037,1.10134,1.07449,0.79012,0.51889,0.59093,0.31736,1.56809,1.12759,1.07437,0.001078,0.001078,0.001078
5,195.13,1.5603,1.02723,1.05916,0.87183,0.52905,0.60781,0.34561,1.4703,0.95153,1.02849,0.001067,0.001067,0.001067
6,233.627,1.54325,0.98318,1.04467,0.63314,0.60807,0.64667,0.36104,1.57629,0.93203,1.05334,0.00105601,0.00105601,0.00105601
7,270.789,1.51544,0.93832,1.03767,0.74282,0.65352,0.71353,0.43533,1.43128,0.86089,1.01144,0.00104501,0.00104501,0.00104501
8,311.846,1.48707,0.91151,1.028,0.78565,0.64036,0.7135,0.43415,1.43789,0.89316,1.01987,0.00103401,0.00103401,0.00103401
9,349.892,1.47535,0.88974,1.02184,0.77694,0.65108,0.73391,0.43903,1.42196,0.8371,1.00523,0.00102301,0.00102301,0.00102301
10,386.605,1.44765,0.86329,1.01463,0.8328,0.70462,0.7645,0.46851,1.39766,0.79393,0.9943,0.00101201,0.00101201,0.00101201
11,422.314,1.43927,0.84783,1.01093,0.79341,0.67326,0.76206,0.47638,1.40899,0.8063,1.00131,0.00100101,0.00100101,0.00100101
12,456.515,1.41419,0.82439,1.0019,0.85986,0.65969,0.74736,0.46273,1.40231,0.79537,0.99958,0.000990012,0.000990012,0.000990012
13,490.629,1.41207,0.81087,1.00002,0.86128,0.7124,0.77787,0.48591,1.36855,0.76116,0.98687,0.000979013,0.000979013,0.000979013
14,524.875,1.39226,0.79825,0.99436,0.8498,0.73435,0.80932,0.51557,1.33643,0.74411,0.97742,0.000968014,0.000968014,0.000968014
15,558.914,1.38646,0.78395,0.99055,0.7783,0.7575,0.79777,0.51078,1.3308,0.74431,0.98275,0.000957015,0.000957015,0.000957015
16,597.51,1.36503,0.77351,0.9894,0.83228,0.74648,0.80543,0.49771,1.32825,0.73746,0.97904,0.000946016,0.000946016,0.000946016
17,634.166,1.35821,0.76084,0.98085,0.83336,0.70476,0.78659,0.49873,1.3338,0.72055,0.97754,0.000935018,0.000935018,0.000935018
18,668.806,1.34532,0.75235,0.98276,0.8777,0.73055,0.81199,0.51333,1.33956,0.72027,0.98353,0.000924019,0.000924019,0.000924019
19,705.184,1.33121,0.74678,0.97444,0.81467,0.77514,0.83485,0.54377,1.32137,0.71728,0.97805,0.00091302,0.00091302,0.00091302
20,739.699,1.32734,0.74633,0.97445,0.85898,0.72545,0.79683,0.50406,1.34317,0.71826,0.98451,0.000902021,0.000902021,0.000902021
21,774.037,1.31648,0.72469,0.97405,0.8609,0.76356,0.82496,0.5409,1.29606,0.69144,0.97704,0.000891022,0.000891022,0.000891022
22,809.188,1.30887,0.72241,0.96891,0.82733,0.7597,0.82311,0.53831,1.27721,0.69064,0.96513,0.000880023,0.000880023,0.000880023
23,843.409,1.29192,0.70783,0.96752,0.84994,0.7546,0.80866,0.53011,1.27228,0.67812,0.96609,0.000869024,0.000869024,0.000869024
24,878.32,1.29413,0.71102,0.96949,0.88354,0.74251,0.82297,0.54255,1.26792,0.68358,0.96528,0.000858025,0.000858025,0.000858025
25,912.543,1.27717,0.70138,0.96372,0.85511,0.77795,0.83393,0.55176,1.27793,0.67351,0.96508,0.000847026,0.000847026,0.000847026
26,946.854,1.27182,0.69108,0.96063,0.8588,0.7866,0.85097,0.55947,1.26281,0.66425,0.96298,0.000836027,0.000836027,0.000836027
27,981.111,1.27452,0.69467,0.96086,0.86316,0.78515,0.82635,0.54503,1.25888,0.65484,0.96454,0.000825029,0.000825029,0.000825029
28,1015.5,1.25112,0.67965,0.95608,0.87395,0.77159,0.84081,0.55379,1.29556,0.66095,0.97077,0.00081403,0.00081403,0.00081403
29,1049.7,1.2449,0.67447,0.95251,0.84282,0.79509,0.84283,0.55223,1.25853,0.66753,0.96001,0.000803031,0.000803031,0.000803031
30,1084.08,1.2402,0.6734,0.95298,0.83779,0.79441,0.85081,0.54823,1.24832,0.65203,0.96057,0.000792032,0.000792032,0.000792032
31,1118.5,1.23009,0.66273,0.95084,0.86271,0.78317,0.8372,0.55302,1.26343,0.65688,0.96033,0.000781033,0.000781033,0.000781033
32,1152.86,1.22337,0.65969,0.94743,0.87303,0.76766,0.83837,0.56352,1.24152,0.64745,0.95366,0.000770034,0.000770034,0.000770034
33,1187.08,1.22106,0.65666,0.94877,0.89594,0.78284,0.84994,0.55986,1.23545,0.64286,0.95249,0.000759035,0.000759035,0.000759035
34,1221.41,1.21564,0.64628,0.94449,0.84306,0.79455,0.85032,0.55793,1.24797,0.63805,0.95633,0.000748036,0.000748036,0.000748036
35,1255.7,1.20652,0.64466,0.9412,0.87564,0.75167,0.83377,0.55651,1.24619,0.64489,0.95729,0.000737037,0.000737037,0.000737037
36,1290.26,1.19121,0.63532,0.93944,0.86503,0.7975,0.84979,0.57822,1.23401,0.63558,0.95422,0.000726038,0.000726038,0.000726038
37,1324.64,1.20055,0.63831,0.94039,0.85014,0.81662,0.85757,0.58035,1.23529,0.6372,0.95649,0.00071504,0.00071504,0.00071504
38,1358.97,1.19061,0.63069,0.94003,0.85871,0.79305,0.85543,0.57801,1.22424,0.62401,0.95216,0.000704041,0.000704041,0.000704041
39,1393.34,1.1877,0.62762,0.93794,0.86741,0.7946,0.86,0.5723,1.23796,0.62875,0.95842,0.000693042,0.000693042,0.000693042
40,1427.75,1.18566,0.62509,0.9332,0.88139,0.81791,0.85578,0.57868,1.21945,0.61529,0.95439,0.000682043,0.000682043,0.000682043
41,1462.26,1.17399,0.6195,0.93567,0.86014,0.81911,0.85972,0.58289,1.22761,0.62969,0.95137,0.000671044,0.000671044,0.000671044
42,1497.14,1.1819,0.61994,0.93361,0.85816,0.80784,0.85719,0.58525,1.22335,0.62368,0.95353,0.000660045,0.000660045,0.000660045
43,1532.15,1.166,0.61525,0.93311,0.89117,0.80239,0.84717,0.57125,1.21,0.61417,0.94893,0.000649046,0.000649046,0.000649046
44,1567.52,1.16027,0.60876,0.93046,0.84919,0.80962,0.8407,0.57356,1.22074,0.61466,0.95187,0.000638047,0.000638047,0.000638047
45,1602.13,1.15833,0.607,0.92961,0.8518,0.81543,0.85318,0.58513,1.20937,0.6117,0.94905,0.000627048,0.000627048,0.000627048
46,1636.52,1.1568,0.61011,0.92841,0.87193,0.80617,0.85552,0.58192,1.22292,0.61153,0.95654,0.000616049,0.000616049,0.000616049
47,1671.17,1.14556,0.59948,0.92781,0.85544,0.82243,0.86474,0.59652,1.21773,0.60693,0.95164,0.000605051,0.000605051,0.000605051
48,1706.05,1.14264,0.59363,0.92419,0.86267,0.81003,0.85235,0.58082,1.22093,0.61099,0.95159,0.000594052,0.000594052,0.000594052
49,1740.62,1.13413,0.59413,0.92294,0.87428,0.81697,0.85338,0.57882,1.21719,0.60735,0.95181,0.000583053,0.000583053,0.000583053
50,1775.13,1.13944,0.59068,0.92277,0.88423,0.80498,0.85171,0.58045,1.22808,0.60616,0.95546,0.000572054,0.000572054,0.000572054
51,1809.64,1.12897,0.58621,0.92101,0.87668,0.81319,0.85387,0.58514,1.21558,0.6027,0.95103,0.000561055,0.000561055,0.000561055
52,1844.22,1.12245,0.58417,0.92221,0.89233,0.80975,0.85647,0.57918,1.22598,0.60062,0.95609,0.000550056,0.000550056,0.000550056
53,1878.61,1.12089,0.58159,0.91853,0.87763,0.82644,0.8542,0.5835,1.22362,0.59488,0.95309,0.000539057,0.000539057,0.000539057
54,1913.2,1.11426,0.58114,0.91784,0.86707,0.82098,0.86627,0.59561,1.21388,0.59258,0.95099,0.000528058,0.000528058,0.000528058
55,1947.52,1.1118,0.57551,0.91611,0.86562,0.82444,0.85901,0.58874,1.21275,0.59111,0.9513,0.000517059,0.000517059,0.000517059
56,1982.07,1.09861,0.57064,0.91582,0.87694,0.82912,0.86771,0.59305,1.21393,0.59027,0.95138,0.00050606,0.00050606,0.00050606
57,2016.69,1.10099,0.56844,0.91559,0.88535,0.81982,0.86426,0.59329,1.2117,0.59014,0.95055,0.000495062,0.000495062,0.000495062
58,2051.07,1.10102,0.56516,0.91382,0.8587,0.82341,0.86335,0.58589,1.21846,0.59494,0.95226,0.000484063,0.000484063,0.000484063
59,2085.63,1.08729,0.56279,0.91333,0.87554,0.8271,0.85929,0.5924,1.20958,0.58969,0.94988,0.000473064,0.000473064,0.000473064
60,2120.56,1.09915,0.56715,0.91079,0.87712,0.81599,0.85599,0.59421,1.20819,0.5863,0.94883,0.000462065,0.000462065,0.000462065
61,2154.85,1.0866,0.55928,0.91283,0.86908,0.83381,0.87021,0.5945,1.21003,0.58765,0.95006,0.000451066,0.000451066,0.000451066
62,2189.28,1.08481,0.55906,0.90852,0.86759,0.80327,0.85555,0.58912,1.21804,0.58926,0.95177,0.000440067,0.000440067,0.000440067
63,2223.57,1.06792,0.55112,0.90705,0.87602,0.82218,0.86002,0.58882,1.21583,0.58793,0.95128,0.000429068,0.000429068,0.000429068
64,2257.92,1.06511,0.55116,0.90557,0.88795,0.83676,0.86928,0.59708,1.2162,0.58682,0.95187,0.000418069,0.000418069,0.000418069
65,2292.34,1.07326,0.55269,0.90643,0.87308,0.82681,0.86299,0.59595,1.21064,0.58909,0.94888,0.00040707,0.00040707,0.00040707
66,2326.72,1.06237,0.54215,0.90456,0.87366,0.81194,0.86551,0.59653,1.21226,0.58578,0.95173,0.000396071,0.000396071,0.000396071
67,2361.15,1.06768,0.54645,0.90504,0.88852,0.82274,0.85959,0.59006,1.21467,0.58266,0.95228,0.000385073,0.000385073,0.000385073
68,2395.62,1.05013,0.54203,0.90038,0.88036,0.82685,0.8578,0.59226,1.20751,0.58077,0.95183,0.000374074,0.000374074,0.000374074
69,2430.5,1.05669,0.54334,0.90359,0.88536,0.82641,0.86018,0.59449,1.20722,0.57864,0.94941,0.000363075,0.000363075,0.000363075
70,2464.86,1.04671,0.53849,0.90066,0.8702,0.82414,0.86175,0.59644,1.20367,0.57622,0.94871,0.000352076,0.000352076,0.000352076
71,2499.47,1.0526,0.53918,0.90094,0.88757,0.83051,0.86183,0.59306,1.21319,0.58171,0.95006,0.000341077,0.000341077,0.000341077
72,2534.07,1.03566,0.5311,0.8995,0.89044,0.82528,0.86491,0.59539,1.21562,0.57958,0.95232,0.000330078,0.000330078,0.000330078
73,2568.34,1.03894,0.53361,0.89971,0.87956,0.81816,0.85973,0.58979,1.21394,0.58305,0.95169,0.000319079,0.000319079,0.000319079
74,2605.69,1.03625,0.52769,0.89774,0.87695,0.81068,0.86104,0.59205,1.21125,0.57646,0.95281,0.00030808,0.00030808,0.00030808
75,2641.79,1.02453,0.52427,0.89761,0.87476,0.832,0.86558,0.59444,1.2132,0.57616,0.95241,0.000297081,0.000297081,0.000297081
76,2677.86,1.02517,0.52363,0.89527,0.89688,0.80195,0.86361,0.59178,1.21392,0.57349,0.95304,0.000286083,0.000286083,0.000286083
77,2712.16,1.02606,0.52549,0.89765,0.88519,0.81546,0.85791,0.59358,1.21521,0.57473,0.95356,0.000275084,0.000275084,0.000275084
78,2746.62,1.02354,0.51978,0.89305,0.88665,0.814,0.86049,0.59282,1.20877,0.57598,0.95154,0.000264085,0.000264085,0.000264085
79,2780.85,1.01351,0.51813,0.89334,0.89338,0.81176,0.86368,0.59679,1.21212,0.57742,0.95051,0.000253086,0.000253086,0.000253086
80,2816.07,1.01309,0.51919,0.89256,0.86948,0.82292,0.86715,0.59816,1.21563,0.57543,0.95216,0.000242087,0.000242087,0.000242087
81,2851.37,1.00994,0.51468,0.89102,0.87687,0.81765,0.86288,0.59666,1.21151,0.57871,0.95266,0.000231088,0.000231088,0.000231088
82,2886.87,1.0061,0.51353,0.89173,0.89954,0.80543,0.86645,0.59817,1.20804,0.56955,0.95087,0.000220089,0.000220089,0.000220089
83,2922.13,1.00817,0.51279,0.89111,0.87964,0.82047,0.86671,0.60197,1.21443,0.57302,0.95128,0.00020909,0.00020909,0.00020909
84,2957.18,1.00277,0.51078,0.89158,0.87165,0.82357,0.86411,0.59655,1.21517,0.57199,0.95217,0.000198091,0.000198091,0.000198091
85,2991.49,0.98899,0.50391,0.8882,0.90041,0.81423,0.86573,0.59958,1.21851,0.57175,0.95408,0.000187092,0.000187092,0.000187092
86,3027.89,0.98519,0.50214,0.88581,0.8931,0.82071,0.86537,0.60125,1.21453,0.56965,0.95357,0.000176094,0.000176094,0.000176094
87,3062.33,0.98872,0.50618,0.88727,0.91153,0.80494,0.86603,0.59884,1.2155,0.56939,0.95398,0.000165095,0.000165095,0.000165095
88,3096.71,0.983,0.50055,0.88567,0.85952,0.82413,0.86551,0.59335,1.21562,0.5694,0.95323,0.000154096,0.000154096,0.000154096
89,3130.9,0.98606,0.50127,0.88739,0.87173,0.81018,0.85987,0.59306,1.21568,0.57039,0.95271,0.000143097,0.000143097,0.000143097
90,3165.19,0.97919,0.49902,0.88438,0.86464,0.82369,0.86265,0.59741,1.21665,0.57095,0.95347,0.000132098,0.000132098,0.000132098
91,3217.46,0.97258,0.47673,0.88582,0.85147,0.8308,0.86361,0.59765,1.21379,0.57055,0.95417,0.000121099,0.000121099,0.000121099
92,3251.27,0.95341,0.46859,0.88343,0.85795,0.83009,0.86417,0.59835,1.21835,0.57193,0.95489,0.0001101,0.0001101,0.0001101
93,3284.98,0.94947,0.46493,0.88123,0.85135,0.84067,0.86362,0.59632,1.21693,0.56939,0.95449,9.91012e-05,9.91012e-05,9.91012e-05
94,3318.7,0.94027,0.46188,0.87965,0.89585,0.80209,0.86443,0.59696,1.21919,0.57006,0.95431,8.81023e-05,8.81023e-05,8.81023e-05
95,3352.35,0.94281,0.46192,0.87963,0.89683,0.79927,0.86248,0.597,1.21835,0.57185,0.95438,7.71034e-05,7.71034e-05,7.71034e-05
96,3385.82,0.93012,0.45815,0.87627,0.89014,0.79955,0.86324,0.59795,1.21913,0.57156,0.95548,6.61045e-05,6.61045e-05,6.61045e-05
97,3419.65,0.92813,0.45569,0.8771,0.89713,0.79934,0.86338,0.59631,1.2214,0.57147,0.95604,5.51056e-05,5.51056e-05,5.51056e-05
98,3453.21,0.92457,0.45335,0.87382,0.88907,0.80038,0.86345,0.5947,1.22121,0.57041,0.95567,4.41067e-05,4.41067e-05,4.41067e-05
99,3486.86,0.91846,0.45178,0.8761,0.88771,0.80024,0.86305,0.59292,1.22103,0.57095,0.95559,3.31078e-05,3.31078e-05,3.31078e-05
100,3520.64,0.91876,0.45178,0.87496,0.90119,0.79942,0.86352,0.59285,1.22088,0.57216,0.95594,2.21089e-05,2.21089e-05,2.21089e-05
