epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.877,1.28293,0.82601,0.95445,0.90592,0.80172,0.8688,0.57607,1.33966,1.01058,1.01175,0.00333093,0.00333093,0.00333093
2,1059.37,1.24982,0.65163,0.94071,0.87411,0.77116,0.81686,0.53465,1.37398,1.28878,1.01959,0.00658179,0.00658179,0.00658179
3,1552.03,1.29259,0.67994,0.9573,0.80071,0.69737,0.77828,0.502,1.4838,1.22909,1.06873,0.00975016,0.00975016,0.00975016
4,2018.8,1.27384,0.66554,0.95829,0.82862,0.69875,0.77757,0.48432,1.48807,1.30422,1.07456,0.00962875,0.00962875,0.00962875
5,2491.67,1.20142,0.61632,0.94289,0.87889,0.79148,0.85227,0.57786,1.32775,1.08186,1.01471,0.009505,0.009505,0.009505
6,2957.17,1.16555,0.58231,0.93489,0.89267,0.79056,0.85827,0.58749,1.31958,1.02813,1.00767,0.00938125,0.00938125,0.00938125
7,3421.86,1.13303,0.56279,0.92813,0.881,0.77421,0.84445,0.58177,1.2965,1.07344,1.00272,0.0092575,0.0092575,0.0092575
8,3887.34,1.10867,0.54323,0.92071,0.75068,0.55836,0.67054,0.41169,1.54715,1.30146,1.08918,0.00913375,0.00913375,0.00913375
9,4377.62,1.09089,0.53086,0.91591,0.87821,0.77757,0.84446,0.58547,1.32841,1.05752,1.00935,0.00901,0.00901,0.00901
10,4881.87,1.07506,0.52186,0.91303,0.90244,0.75023,0.83629,0.58957,1.33152,1.29324,1.01349,0.00888625,0.00888625,0.00888625
11,5357,1.06083,0.50984,0.90954,0.8903,0.77528,0.84382,0.58833,1.31,1.10164,1.00198,0.0087625,0.0087625,0.0087625
12,5825.27,1.04443,0.49878,0.90727,0.90015,0.77263,0.85345,0.59777,1.30498,1.03353,0.99782,0.00863875,0.00863875,0.00863875
13,6289.56,1.03727,0.49446,0.90393,0.85043,0.72008,0.82125,0.54268,1.38136,1.12834,1.02882,0.008515,0.008515,0.008515
14,6759.03,1.02826,0.48695,0.9012,0.89039,0.76413,0.84153,0.59226,1.30743,1.03566,0.99096,0.00839125,0.00839125,0.00839125
15,7262.55,1.02474,0.48372,0.8994,0.89484,0.77605,0.85357,0.60137,1.30361,1.091,0.99927,0.0082675,0.0082675,0.0082675
16,7748.02,1.01067,0.47643,0.89951,0.90054,0.76734,0.85095,0.60177,1.27044,1.01523,0.99422,0.00814375,0.00814375,0.00814375
17,8223.44,1.00107,0.47281,0.89715,0.90405,0.7678,0.84991,0.59987,1.29546,1.07549,0.99143,0.00802,0.00802,0.00802
18,8693.31,0.99872,0.47004,0.89461,0.89852,0.77779,0.85365,0.60178,1.29725,0.95155,0.98531,0.00789625,0.00789625,0.00789625
19,9160.4,0.99728,0.46585,0.89553,0.90574,0.76767,0.85229,0.60103,1.29972,1.01756,0.9964,0.0077725,0.0077725,0.0077725
20,9627.27,0.98189,0.45945,0.8916,0.90149,0.77589,0.85502,0.60832,1.27616,0.95676,0.98483,0.00764875,0.00764875,0.00764875
21,10092.4,0.98197,0.45903,0.89126,0.90669,0.77339,0.85294,0.6093,1.26336,0.94707,0.98321,0.007525,0.007525,0.007525
22,10558.9,0.9777,0.45531,0.89047,0.88898,0.76321,0.84789,0.60879,1.26058,1.07641,0.98445,0.00740125,0.00740125,0.00740125
23,11025.3,0.96179,0.44753,0.88477,0.8958,0.7377,0.83422,0.59661,1.2915,1.12082,0.99678,0.0072775,0.0072775,0.0072775
24,11491.4,0.95861,0.44514,0.88808,0.89602,0.77272,0.85112,0.60819,1.30016,1.10087,0.99205,0.00715375,0.00715375,0.00715375
25,12000.7,0.9587,0.44505,0.88636,0.89825,0.77682,0.85329,0.61214,1.25213,0.99872,0.98656,0.00703,0.00703,0.00703
26,12537,0.95115,0.43945,0.88379,0.89981,0.75833,0.85144,0.6123,1.24956,0.96134,0.98812,0.00690625,0.00690625,0.00690625
27,13046.6,0.94704,0.43713,0.88265,0.91046,0.77819,0.86203,0.61557,1.26574,0.97616,0.98658,0.0067825,0.0067825,0.0067825
28,13538.1,0.9408,0.43334,0.87997,0.89126,0.77284,0.85734,0.61694,1.24236,0.92715,0.97832,0.00665875,0.00665875,0.00665875
29,14084.3,0.93513,0.43162,0.88304,0.88243,0.77757,0.85035,0.60836,1.2438,0.90967,0.98228,0.006535,0.006535,0.006535
30,14566.2,0.92501,0.42735,0.87731,0.90204,0.74381,0.8457,0.61041,1.24464,0.96719,0.97908,0.00641125,0.00641125,0.00641125
31,15046.5,0.92682,0.42596,0.87707,0.8984,0.77162,0.8566,0.61423,1.25795,0.92113,0.97918,0.0062875,0.0062875,0.0062875
32,15512.4,0.92543,0.42275,0.87687,0.90441,0.77615,0.85916,0.61721,1.25082,0.9598,0.97789,0.00616375,0.00616375,0.00616375
33,15979.7,0.91787,0.41863,0.87724,0.89591,0.7784,0.85939,0.61665,1.24829,0.90554,0.97955,0.00604,0.00604,0.00604
34,16446.3,0.9113,0.41859,0.87479,0.8946,0.78567,0.8612,0.61968,1.24559,0.85453,0.98086,0.00591625,0.00591625,0.00591625
35,16913.7,0.90594,0.41261,0.87281,0.89613,0.76719,0.84964,0.61302,1.23863,0.88288,0.97826,0.0057925,0.0057925,0.0057925
36,17379.8,0.91107,0.41459,0.87534,0.90294,0.76604,0.85358,0.61346,1.24629,0.89943,0.97883,0.00566875,0.00566875,0.00566875
37,17845.7,0.90381,0.4106,0.87293,0.90342,0.77559,0.86008,0.61903,1.24225,0.90665,0.98122,0.005545,0.005545,0.005545
38,18311,0.89942,0.40798,0.87141,0.90517,0.77863,0.85969,0.62049,1.23786,0.89205,0.97906,0.00542125,0.00542125,0.00542125
39,18776.3,0.89494,0.40759,0.87255,0.90667,0.77757,0.85982,0.6191,1.24099,0.90242,0.98106,0.0052975,0.0052975,0.0052975
40,19242.8,0.89115,0.40552,0.87096,0.90875,0.77009,0.85696,0.61522,1.25197,0.91514,0.98334,0.00517375,0.00517375,0.00517375
41,19709.8,0.88875,0.40223,0.87011,0.89743,0.78057,0.8593,0.6198,1.25449,0.89638,0.98005,0.00505,0.00505,0.00505
42,20174.5,0.88098,0.39907,0.86853,0.89293,0.7707,0.85744,0.61931,1.2514,0.88872,0.97979,0.00492625,0.00492625,0.00492625
43,20639.6,0.87592,0.39775,0.86711,0.89822,0.77252,0.85868,0.61999,1.25657,0.88519,0.98028,0.0048025,0.0048025,0.0048025
44,21104.2,0.87189,0.3931,0.86758,0.89509,0.77375,0.86006,0.62148,1.25685,0.89697,0.98179,0.00467875,0.00467875,0.00467875
45,21569.5,0.86921,0.39162,0.86605,0.89585,0.77527,0.86,0.6217,1.25884,0.88994,0.98311,0.004555,0.004555,0.004555
46,22034.3,0.86258,0.38925,0.86433,0.89817,0.77987,0.86198,0.62328,1.25304,0.87626,0.98224,0.00443125,0.00443125,0.00443125
47,22499.5,0.85551,0.38709,0.86321,0.89475,0.78231,0.86159,0.62194,1.25431,0.87004,0.98286,0.0043075,0.0043075,0.0043075
48,22964.4,0.85427,0.38555,0.86108,0.89394,0.78029,0.86118,0.62192,1.25478,0.87123,0.98415,0.00418375,0.00418375,0.00418375
49,23429,0.85442,0.38459,0.86321,0.90111,0.77679,0.86113,0.62202,1.2578,0.8699,0.98423,0.00406,0.00406,0.00406
50,23894.3,0.85036,0.38219,0.86232,0.90318,0.77696,0.8613,0.62141,1.26054,0.8759,0.98482,0.00393625,0.00393625,0.00393625
51,24402.2,0.85231,0.38086,0.86234,0.89732,0.78097,0.86079,0.62116,1.2609,0.87405,0.98385,0.0038125,0.0038125,0.0038125
52,24931.2,0.84108,0.3753,0.85934,0.89501,0.78136,0.86057,0.62144,1.26249,0.87614,0.98404,0.00368875,0.00368875,0.00368875
53,25446.1,0.8368,0.3728,0.85824,0.89135,0.77987,0.86006,0.62036,1.26434,0.88225,0.98404,0.003565,0.003565,0.003565
54,25978.5,0.83237,0.3732,0.85622,0.89215,0.77895,0.85983,0.62042,1.26652,0.88414,0.98468,0.00344125,0.00344125,0.00344125
55,26500.5,0.83007,0.37086,0.857,0.90134,0.76901,0.85948,0.6197,1.2679,0.8852,0.98569,0.0033175,0.0033175,0.0033175
