epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0807,1.07487,0.5495,0.9188,0.89186,0.77845,0.84796,0.55337,1.26184,0.64221,0.99571,0.000367417,0.000367417,0.000367417
2,78.6618,1.1507,0.60438,0.94108,0.85419,0.78012,0.82229,0.523,1.30929,0.69448,1.01073,0.000728621,0.000728621,0.000728621
3,116.177,1.22318,0.66978,0.96437,0.82714,0.64443,0.71661,0.42349,1.49034,0.95803,1.07785,0.00108066,0.00108066,0.00108066
4,153.921,1.23803,0.67931,0.9697,0.80024,0.69688,0.73737,0.43615,1.43039,0.82365,1.06154,0.00106975,0.00106975,0.00106975
5,191.374,1.22847,0.68724,0.96562,0.84018,0.68369,0.73804,0.43618,1.4423,0.82391,1.06368,0.00105601,0.00105601,0.00105601
6,228.62,1.27411,0.69588,0.97576,0.83182,0.72757,0.78848,0.48202,1.42465,0.75463,1.04468,0.00104226,0.00104226,0.00104226
7,263.397,1.23121,0.68584,0.97595,0.81343,0.73852,0.80238,0.49199,1.40009,0.7628,1.03657,0.00102851,0.00102851,0.00102851
8,298.762,1.23613,0.67834,0.98121,0.74536,0.68019,0.71906,0.41835,1.52857,0.81633,1.06787,0.00101476,0.00101476,0.00101476
9,332.52,1.23501,0.68924,0.97342,0.84009,0.734,0.8107,0.49515,1.34133,0.73987,1.02478,0.00100101,0.00100101,0.00100101
10,369.483,1.22405,0.68128,0.96857,0.86483,0.74135,0.8042,0.50476,1.32026,0.72121,1.01904,0.000987262,0.000987262,0.000987262
11,408.711,1.22895,0.67102,0.96582,0.8113,0.72006,0.80126,0.49299,1.38386,0.73811,1.02595,0.000973514,0.000973514,0.000973514
12,443.496,1.21118,0.66486,0.97416,0.73609,0.73045,0.75399,0.4511,1.43496,0.75203,1.04883,0.000959765,0.000959765,0.000959765
13,477.301,1.21363,0.66335,0.96074,0.85899,0.70909,0.80055,0.49402,1.39992,0.73681,1.03558,0.000946016,0.000946016,0.000946016
14,512.223,1.19825,0.65695,0.96496,0.88776,0.72078,0.81844,0.52649,1.30735,0.70349,1.00949,0.000932268,0.000932268,0.000932268
15,552.493,1.20377,0.64753,0.96631,0.8372,0.70256,0.78168,0.49612,1.3592,0.71507,1.02506,0.000918519,0.000918519,0.000918519
16,589.365,1.19543,0.64638,0.95811,0.83931,0.75201,0.82106,0.51112,1.3333,0.70427,1.01976,0.000904771,0.000904771,0.000904771
17,629.877,1.19376,0.64198,0.96146,0.87256,0.75393,0.82653,0.51103,1.32326,0.70035,1.02202,0.000891022,0.000891022,0.000891022
18,671.129,1.19727,0.6406,0.95939,0.86772,0.76771,0.83381,0.53481,1.30729,0.683,1.00964,0.000877273,0.000877273,0.000877273
19,709.816,1.16963,0.63039,0.95134,0.84459,0.76015,0.82885,0.53005,1.31698,0.69621,1.01705,0.000863525,0.000863525,0.000863525
20,746.158,1.17102,0.62393,0.95424,0.82799,0.77565,0.82922,0.52343,1.30657,0.68066,1.01099,0.000849776,0.000849776,0.000849776
21,780.008,1.18711,0.6273,0.9497,0.7794,0.63326,0.68908,0.41247,1.54626,0.87421,1.10122,0.000836027,0.000836027,0.000836027
22,814.901,1.16071,0.6066,0.94413,0.85992,0.78851,0.82971,0.53812,1.28937,0.67268,1.00648,0.000822279,0.000822279,0.000822279
23,850.309,1.1623,0.61467,0.95109,0.86064,0.74035,0.81409,0.5158,1.31591,0.68898,1.00746,0.00080853,0.00080853,0.00080853
24,886.734,1.16613,0.61164,0.94527,0.87545,0.78804,0.84205,0.53892,1.29123,0.67308,1.00556,0.000794782,0.000794782,0.000794782
