epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6143,2.53792,3.34833,1.05904,0.32924,0.5496,0.36231,0.10655,2.5984,3.50072,1.02354,0.000367417,0.000367417,0.000367417
2,64.3289,2.42662,2.18473,1.03745,0.52267,0.54894,0.49225,0.16987,2.3447,1.94084,1.01007,0.000730447,0.000730447,0.000730447
3,95.3867,2.38712,1.88584,1.02997,0.52865,0.52546,0.49673,0.14952,2.56701,1.69985,1.05024,0.00108614,0.00108614,0.00108614
4,126.424,2.34122,1.62787,1.02962,0.6624,0.54309,0.60452,0.21932,2.33042,1.59417,1.00295,0.001078,0.001078,0.001078
5,157.351,2.30682,1.5272,1.00379,0.68604,0.62632,0.68349,0.26099,2.22127,1.5158,0.98079,0.001067,0.001067,0.001067
6,189.971,2.23414,1.38152,1.00172,0.60238,0.55358,0.57164,0.18957,2.45271,1.67153,1.01146,0.00105601,0.00105601,0.00105601
7,221.77,2.22035,1.40743,1.00808,0.64422,0.63231,0.65789,0.23475,2.2492,1.48272,0.98639,0.00104501,0.00104501,0.00104501
8,252.942,2.23041,1.33633,1.00402,0.67274,0.62467,0.65907,0.2519,2.20138,1.5469,0.98113,0.00103401,0.00103401,0.00103401
9,284.347,2.2404,1.31213,0.99221,0.69344,0.6293,0.67933,0.23727,2.32416,1.43535,0.99705,0.00102301,0.00102301,0.00102301
10,315.976,2.20429,1.32496,0.99023,0.71118,0.69293,0.72084,0.27241,2.21263,1.65559,0.98922,0.00101201,0.00101201,0.00101201
